=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
Humidité du sol;46.89;%;4
pH du sol;6.62;pH;5
Pluviométrie;5.14;mm;7
Luminosité;12409.92;lux;8
Vitesse du vent;33.8;km/h;9
Température Test;47.82;unité;16
temperature;18.27;unité;17
Humidité du sol;74.77;%;4
pH du sol;6.33;pH;5
Pluviométrie;5.96;mm;7
Luminosité;45004.25;lux;8
Vitesse du vent;36.04;km/h;9
Température Test;23.01;unité;16
temperature;65.42;unité;17
Humidité du sol;76.8;%;4
pH du sol;6.86;pH;5
Pluviométrie;9.8;mm;7
Luminosité;31986.24;lux;8
Vitesse du vent;27.17;km/h;9
Température Test;98.95;unité;16
temperature;37.85;unité;17
Luminosité;27052.33;lux;8
Vitesse du vent;16.87;km/h;9
Température Test;28.75;unité;16
temperature;15.18;unité;17
Humidité du sol;76.43;%;4
pH du sol;7.25;pH;5
Pluviométrie;5.04;mm;7
Humidité du sol;46.38;%;4
pH du sol;7.25;pH;5
Pluviométrie;0.58;mm;7
Luminosité;88146.87;lux;8
Vitesse du vent;13.75;km/h;9
Température Test;10.12;unité;16
temperature;60.43;unité;17
Vitesse du vent;24.05;km/h;9
Température Test;6.14;unité;16
temperature;0.95;unité;17
Humidité du sol;43.11;%;4
pH du sol;6.17;pH;5
Pluviométrie;9.02;mm;7
Luminosité;1695.02;lux;8
Humidité du sol;45.01;%;4
pH du sol;6.45;pH;5
Pluviométrie;9.2;mm;7
Luminosité;51997.31;lux;8
Vitesse du vent;29.16;km/h;9
Température Test;60.63;unité;16
temperature;18.67;unité;17
Humidité du sol;60.38;%;4
pH du sol;7.39;pH;5
Pluviométrie;1.38;mm;7
Luminosité;18390.46;lux;8
Vitesse du vent;8.94;km/h;9
Température Test;39.63;unité;16
temperature;23.76;unité;17
Pluviométrie;9.99;mm;7
Luminosité;8346.78;lux;8
Vitesse du vent;37.13;km/h;9
Température Test;63.63;unité;16
temperature;99.65;unité;17
Humidité du sol;68.45;%;4
pH du sol;7.27;pH;5
Luminosité;19661.02;lux;8
Vitesse du vent;16.46;km/h;9
Température Test;61.94;unité;16
temperature;72.61;unité;17
Humidité du sol;77.2;%;4
pH du sol;6.73;pH;5
Pluviométrie;2.1;mm;7
pH du sol;6.26;pH;5
Pluviométrie;4.35;mm;7
Luminosité;95534.87;lux;8
Vitesse du vent;26.42;km/h;9
Température Test;26.69;unité;16
temperature;16.85;unité;17
Humidité du sol;49.26;%;4
Luminosité;56200.89;lux;8
Vitesse du vent;17.12;km/h;9
Température Test;68.15;unité;16
temperature;20.62;unité;17
Humidité du sol;41.14;%;4
pH du sol;6.05;pH;5
Pluviométrie;8.39;mm;7
Humidité du sol;50.84;%;4
pH du sol;6.11;pH;5
Pluviométrie;7.62;mm;7
Luminosité;76227.19;lux;8
Vitesse du vent;14.02;km/h;9
Température Test;44.26;unité;16
temperature;44.34;unité;17
Humidité du sol;43.45;%;4
pH du sol;6.73;pH;5
Pluviométrie;2.92;mm;7
Luminosité;82844.07;lux;8
Vitesse du vent;3.17;km/h;9
Température Test;36.7;unité;16
temperature;49.47;unité;17
temperature;11.97;unité;17
Humidité du sol;59.26;%;4
pH du sol;7.4;pH;5
Pluviométrie;0.19;mm;7
Luminosité;39732.83;lux;8
Vitesse du vent;3.94;km/h;9
Température Test;62.04;unité;16
Humidité du sol;61.29;%;4
pH du sol;6.94;pH;5
Pluviométrie;3.39;mm;7
Luminosité;52646.77;lux;8
Vitesse du vent;1.38;km/h;9
Température Test;39.87;unité;16
temperature;99.55;unité;17
Humidité du sol;55.68;%;4
pH du sol;6.9;pH;5
Pluviométrie;6.44;mm;7
Luminosité;90925.86;lux;8
Vitesse du vent;16.93;km/h;9
Température Test;38.18;unité;16
temperature;46.59;unité;17
Humidité du sol;74.83;%;4
pH du sol;6.25;pH;5
Pluviométrie;4.26;mm;7
Luminosité;34128.64;lux;8
Vitesse du vent;5.65;km/h;9
Température Test;20.92;unité;16
temperature;37.08;unité;17
Humidité du sol;52.49;%;4
pH du sol;6.54;pH;5
Pluviométrie;3.38;mm;7
Luminosité;67946.93;lux;8
Vitesse du vent;29.51;km/h;9
Température Test;76.87;unité;16
temperature;35.25;unité;17
Humidité du sol;65.64;%;4
pH du sol;6.94;pH;5
Pluviométrie;1.69;mm;7
Luminosité;87131.16;lux;8
Vitesse du vent;45.66;km/h;9
Température Test;91.73;unité;16
temperature;44.88;unité;17
Humidité du sol;65.19;%;4
pH du sol;7.37;pH;5
Pluviométrie;0.38;mm;7
Luminosité;73856.32;lux;8
Vitesse du vent;26.01;km/h;9
Température Test;13.65;unité;16
